分割数,区分求積法,台形公式
10,3.141592653589793,3.141592653589793
20,3.141592653589793,3.141592653589793
30,3.141592653589794,3.141592653589794
40,3.141592653589793,3.141592653589793
50,3.141592653589796,3.141592653589796
60,3.141592653589791,3.141592653589791
70,3.141592653589793,3.141592653589793
80,3.141592653589796,3.1415926535897984
90,3.1415926535897967,3.1415926535897967
100,3.1415926535897887,3.1415926535897887
110,3.141592653589798,3.1415926535897984
120,3.141592653589797,3.141592653589797
130,3.1415926535897984,3.1415926535897984
140,3.141592653589793,3.141592653589793
150,3.1415926535897967,3.1415926535897962
160,3.141592653589802,3.141592653589804
170,3.141592653589786,3.141592653589786
180,3.1415926535897825,3.1415926535897825
190,3.1415926535898,3.1415926535898
200,3.141592653589782,3.141592653589782
210,3.1415926535898007,3.1415926535898007
220,3.141592653589804,3.1415926535898047
230,3.1415926535898,3.1415926535898
240,3.1415926535898038,3.1415926535898038
250,3.141592653589811,3.141592653589811
260,3.1415926535898,3.1415926535898
270,3.141592653589787,3.141592653589787
280,3.141592653589793,3.141592653589793
290,3.1415926535898016,3.1415926535898016
300,3.1415926535897727,3.1415926535897727
310,3.1415926535898038,3.1415926535898038
320,3.1415926535898073,3.1415926535898073
330,3.1415926535898078,3.1415926535898078
340,3.141592653589785,3.141592653589785
350,3.1415926535897776,3.1415926535897776
360,3.14159265358977,3.14159265358977
370,3.14159265358982,3.14159265358982
380,3.141592653589801,3.141592653589801
390,3.141592653589786,3.141592653589786
400,3.141592653589779,3.141592653589779
410,3.141592653589816,3.1415926535898158
420,3.1415926535897785,3.1415926535897785
430,3.1415926535898007,3.1415926535898007
440,3.1415926535898073,3.1415926535898078
450,3.141592653589797,3.141592653589797
460,3.141592653589801,3.141592653589801
470,3.1415926535898113,3.1415926535898113
480,3.1415926535898073,3.1415926535898073
490,3.141592653589811,3.141592653589811
500,3.1415926535898153,3.1415926535898153
510,3.141592653589785,3.141592653589785
520,3.1415926535897594,3.1415926535897594
530,3.141592653589813,3.141592653589813
540,3.1415926535897722,3.1415926535897722
550,3.1415926535898313,3.1415926535898313
560,3.1415926535897576,3.1415926535897487
570,3.1415926535897793,3.1415926535897793
580,3.1415926535897705,3.1415926535897705
590,3.141592653589777,3.141592653589777
600,3.1415926535898,3.1415926535898
610,3.1415926535897754,3.1415926535897754
620,3.141592653589755,3.141592653589755
630,3.1415926535898295,3.14159265358983
640,3.1415926535897567,3.1415926535897576
650,3.141592653589761,3.141592653589761
660,3.141592653589809,3.141592653589809
670,3.1415926535898153,3.1415926535898153
680,3.1415926535898397,3.1415926535898397
690,3.141592653589825,3.141592653589825
700,3.1415926535897545,3.1415926535897545
710,3.1415926535897847,3.1415926535897847
720,3.141592653589822,3.141592653589822
730,3.1415926535897745,3.1415926535897745
740,3.141592653589767,3.141592653589767
750,3.14159265358983,3.14159265358983
760,3.1415926535897403,3.1415926535897403
770,3.141592653589768,3.141592653589768
780,3.141592653589828,3.141592653589828
790,3.141592653589838,3.141592653589838
800,3.1415926535898415,3.1415926535898415
810,3.1415926535897643,3.1415926535897643
820,3.1415926535898446,3.141592653589844
830,3.1415926535897647,3.1415926535897647
840,3.1415926535898224,3.1415926535898224
850,3.1415926535897385,3.1415926535897385
860,3.1415926535898233,3.1415926535898233
870,3.1415926535897345,3.1415926535897345
880,3.141592653589809,3.141592653589809
890,3.141592653589748,3.141592653589748
900,3.1415926535897247,3.1415926535897247
910,3.141592653589819,3.141592653589819
920,3.1415926535897274,3.1415926535897274
930,3.1415926535898375,3.1415926535898375
940,3.1415926535897376,3.1415926535897376
950,3.141592653589853,3.141592653589853
960,3.141592653589809,3.141592653589809
970,3.141592653589837,3.141592653589837
980,3.1415926535897385,3.1415926535897385
990,3.1415926535898424,3.1415926535898433
1000,3.1415926535897367,3.1415926535897367
